date,code,close,adjustflag,turn,tradestatus,pctChg,isST
2023-12-26,sh.603757,22.9300000000,2,0.993700,1,-2.591300,0
2023-12-27,sh.603757,23.3500000000,2,0.907500,1,1.831700,0
2023-12-28,sh.603757,23.9800000000,2,1.274800,1,2.698100,0
2023-12-29,sh.603757,24.2400000000,2,0.832200,1,1.084200,0
2023-01-03,sh.603786,66.9982226600,2,0.316400,1,2.643200,0
2023-01-04,sh.603786,65.4910849000,2,0.230700,1,-2.249500,0
2023-01-05,sh.603786,66.9288150000,2,0.351900,1,2.195300,0
2023-01-06,sh.603786,66.0959230800,2,0.384200,1,-1.244400,0
2023-01-09,sh.603786,66.9288150000,2,0.305500,1,1.260100,0
2023-01-10,sh.603786,66.7305074000,2,0.306900,1,-0.296300,0
2023-01-11,sh.603786,65.5109156600,2,0.160700,1,-1.827600,0
2023-01-12,sh.603786,66.1157538400,2,0.308400,1,0.923300,0
2023-01-13,sh.603786,66.0166000400,2,0.130600,1,-0.150000,0
2023-01-16,sh.603786,67.0577149400,2,0.387800,1,1.577100,0
2023-01-17,sh.603786,66.0364308000,2,0.162300,1,-1.523000,0
2023-01-18,sh.603786,65.7389694000,2,0.259100,1,-0.450500,0
2023-01-19,sh.603786,64.5193776600,2,0.326200,1,-1.855200,0
2023-01-20,sh.603786,64.2120008800,2,0.299000,1,-0.476400,0
2023-01-30,sh.603786,66.6710151200,2,0.518800,1,3.829500,0
2023-01-31,sh.603786,65.0647235600,2,0.331100,1,-2.409300,0
2023-02-01,sh.603786,67.6427223600,2,0.581000,1,3.962200,0
2023-02-02,sh.603786,68.4656989000,2,0.449400,1,1.216700,0
2023-02-03,sh.603786,67.1271226000,2,0.498100,1,-1.955100,0
2023-02-06,sh.603786,65.1440466000,2,0.320700,1,-2.954200,0
2023-02-07,sh.603786,67.4047532400,2,0.398100,1,3.470300,0
2023-02-08,sh.603786,67.6427223600,2,0.275200,1,0.353000,0
2023-02-09,sh.603786,67.5039070400,2,0.390900,1,-0.205200,0
2023-02-10,sh.603786,65.7191386400,2,0.291800,1,-2.643900,0
2023-02-13,sh.603786,65.7885463000,2,0.211500,1,0.105600,0
2023-02-14,sh.603786,67.4146686200,2,0.357000,1,2.471700,0
2023-02-15,sh.603786,66.7305074000,2,0.196200,1,-1.014900,0
2023-02-16,sh.603786,66.0066846600,2,0.279400,1,-1.084700,0
2023-02-17,sh.603786,65.1539619800,2,0.167400,1,-1.291900,0
2023-02-20,sh.603786,65.2432004000,2,0.188400,1,0.137000,0
2023-02-21,sh.603786,66.4132152400,2,0.199600,1,1.793300,0
2023-02-22,sh.603786,65.9769385200,2,0.099100,1,-0.656900,0
2023-02-23,sh.603786,66.0166000400,2,0.201500,1,0.060100,0
2023-02-24,sh.603786,65.6596463600,2,0.119100,1,-0.540700,0
2023-02-27,sh.603786,65.1837081200,2,0.140600,1,-0.724900,0
2023-02-28,sh.603786,65.4415080000,2,0.140900,1,0.395500,0
2023-03-01,sh.603786,64.1822547400,2,0.410900,1,-1.924200,0
2023-03-02,sh.603786,61.5745098000,2,0.609000,1,-4.063000,0
2023-03-03,sh.603786,60.5829718000,2,0.230400,1,-1.610300,0
2023-03-06,sh.603786,60.6821256000,2,0.301900,1,0.163700,0
2023-03-07,sh.603786,59.9979643800,2,0.156100,1,-1.127500,0
2023-03-08,sh.603786,59.9979643800,2,0.226100,1,0.000000,0
2023-03-09,sh.603786,59.0560032800,2,0.334200,1,-1.570000,0
2023-03-10,sh.603786,57.6281885600,2,0.249000,1,-2.417700,0
2023-03-13,sh.603786,57.7471731200,2,0.180100,1,0.206500,0
2023-03-14,sh.603786,57.4893732400,2,0.250200,1,-0.446400,0
2023-03-15,sh.603786,56.8944504400,2,0.157700,1,-1.034800,0
2023-03-16,sh.603786,56.3491045400,2,0.237600,1,-0.958500,0
2023-03-17,sh.603786,56.7159736000,2,0.226700,1,0.651100,0
2023-03-20,sh.603786,57.5191193800,2,0.300900,1,1.416100,0
2023-03-21,sh.603786,58.6990496000,2,0.499500,1,2.051400,0
2023-03-22,sh.603786,58.2032806000,2,0.308400,1,-0.844600,0
2023-03-23,sh.603786,57.1125888000,2,0.264500,1,-1.873900,0
2023-03-24,sh.603786,57.2910656400,2,0.148100,1,0.312500,0
2023-03-27,sh.603786,57.8760730600,2,0.221300,1,1.021100,0
2023-03-28,sh.603786,57.2315733600,2,0.134100,1,-1.113600,0
2023-03-29,sh.603786,57.5686962800,2,0.220900,1,0.589100,0
2023-03-30,sh.603786,57.7868346400,2,0.121800,1,0.378900,0
2023-03-31,sh.603786,58.0942114200,2,0.139900,1,0.531900,0
2023-04-03,sh.603786,58.8180341600,2,0.270400,1,1.245900,0
2023-04-04,sh.603786,59.1551570800,2,0.204700,1,0.573200,0
2023-04-06,sh.603786,59.6806722200,2,0.255800,1,0.888400,0
2023-04-07,sh.603786,58.6395573200,2,0.223200,1,-1.744500,0
2023-04-10,sh.603786,58.4313343400,2,0.207400,1,-0.355100,0
2023-04-11,sh.603786,57.7075116000,2,0.372100,1,-1.238800,0
2023-04-12,sh.603786,56.3391891600,2,0.197500,1,-2.371100,0
2023-04-13,sh.603786,56.0318123800,2,0.114600,1,-0.545600,0
2023-04-14,sh.603786,59.4724492400,2,0.439900,1,6.140500,0
2023-04-17,sh.603786,57.7570885000,2,0.301200,1,-2.884300,0
2023-04-18,sh.603786,58.3024344000,2,0.186400,1,0.944200,0
2023-04-19,sh.603786,57.5092040000,2,0.160400,1,-1.360500,0
2023-04-20,sh.603786,55.9425739600,2,0.157200,1,-2.724100,0
2023-04-21,sh.603786,54.5246746200,2,0.296400,1,-2.534600,0
2023-04-24,sh.603786,53.5926289000,2,0.318600,1,-1.709400,0
2023-04-25,sh.603786,53.0472830000,2,0.204500,1,-1.017600,0
2023-04-26,sh.603786,54.4552669600,2,0.204000,1,2.654200,0
2023-04-27,sh.603786,54.4354362000,2,0.113200,1,-0.036400,0
2023-04-28,sh.603786,53.0869445200,2,0.186500,1,-2.477200,0
2023-05-04,sh.603786,52.5415986200,2,0.208800,1,-1.027300,0
2023-05-05,sh.603786,51.9367604400,2,0.184500,1,-1.151200,0
